"Place_names_normalised_spanish","count","percentage","total_occurrences"
"Bisanzón",1,0.0118652112007594,2
"Bisiñano",1,0.0118652112007594,1
"Bogotá",1,0.0118652112007594,1
"Borox",1,0.0118652112007594,1
"Bouges",1,0.0118652112007594,1
"Bozmar",1,0.0118652112007594,1
"Braga",1,0.0118652112007594,1
"Brava",1,0.0118652112007594,1
"Brest",1,0.0118652112007594,1
"Briviesca",1,0.0118652112007594,3
"Bruges",1,0.0118652112007594,1
"Buendía",1,0.0118652112007594,1
"Bulgaria",1,0.0118652112007594,1
"Burgo de Nimi",1,0.0118652112007594,2
"Burguillos",1,0.0118652112007594,1
"Burueba",1,0.0118652112007594,1
"Cabañas",1,0.0118652112007594,2
"Cabo Verde",1,0.0118652112007594,1
